v_ego,v_followed,v_oncoming,dist_flw_m,dist_oncom_m,engine_power_kw,weight_kg,road_friction,driver_age,years_driving,km_driven,rel_v_oncoming,rel_v_followed,target
146.02,25.42,43.99,92.87,879.54,207.33,1497.44,0.54,54.99,4.97,377.32,190.01,120.6,1
114.32,62.49,73.59,59.62,1645.05,245.53,2340.64,0.21,74.63,19.42,321.53,187.91,51.83,1
110.14,84.84,65.01,39.78,1501.21,298.28,1870.03,0.69,42.7,26.4,226.67,175.15,25.3,1
98.09,58.33,56.28,83.32,164.85,196.58,1479.45,0.51,26.73,45.88,136.06,154.37,39.76,0
68.11,55.53,119.0,39.51,1887.9,259.05,2146.54,0.25,31.64,27.76,53.87,187.11,12.58,1
57.83,116.99,43.08,72.87,1867.04,235.17,2528.47,0.33,39.16,23.09,93.68,100.91,-59.16,1
44.22,42.68,74.8,10.9,829.51,167.04,2158.4,0.47,63.47,2.88,130.84,119.02,1.54,1
82.63,24.13,62.86,10.86,1881.54,150.07,2531.52,0.66,30.77,25.03,433.78,145.49,58.5,1
84.21,66.23,120.53,36.89,1740.28,226.32,1809.3,0.76,75.91,5.15,403.34,204.74,17.98,1
69.03,128.51,57.7,32.48,1515.93,171.83,2448.11,0.4,26.69,29.99,336.48,126.73,-59.48,1
43.32,64.98,46.13,19.7,920.03,111.86,2702.3,0.73,85.05,49.8,243.73,89.45,-21.66,1
121.18,23.25,118.33,88.43,1506.62,194.5,2132.75,0.43,83.62,13.43,238.68,239.51,97.93,1
106.21,21.56,88.57,45.55,831.69,220.76,1904.25,0.33,89.68,46.42,219.84,194.78,84.65,1
79.12,62.93,82.82,84.04,1330.29,68.49,2027.57,0.14,62.86,17.94,124.63,161.94,16.19,0
135.83,55.7,110.43,46.91,1051.29,284.19,2350.27,0.91,64.15,6.22,63.35,246.26,80.13,1
48.74,119.16,51.9,82.52,573.77,153.8,2273.53,0.35,51.4,9.12,216.46,100.64,-70.42,0
65.43,118.35,123.49,64.18,1533.62,117.66,1479.58,0.81,69.62,45.0,40.49,188.92,-52.92,0
77.64,34.85,74.62,29.4,1940.6,272.17,1502.2,0.6,42.04,29.92,115.6,152.26,42.79,1
37.15,48.19,74.59,31.77,156.21,202.02,2455.38,0.34,81.83,49.9,278.6,111.74,-11.04,0
71.4,104.71,103.62,58.54,992.7,95.47,2191.25,0.1,64.07,33.37,190.28,175.02,-33.31,0
141.51,24.15,45.62,80.28,931.37,269.67,2952.79,0.87,85.38,8.76,125.34,187.13,117.36,1
69.63,40.12,68.77,86.51,406.3,191.89,2427.98,0.22,68.0,21.73,380.59,138.4,29.51,0
91.45,22.31,91.58,77.44,186.28,65.84,2142.85,0.31,22.24,12.93,62.11,183.03,69.14,0
115.44,125.86,46.56,99.74,1925.13,86.78,2754.4,0.8,15.13,29.31,295.66,162.0,-10.42,0
120.11,47.02,80.46,73.05,378.21,173.14,2473.29,0.21,28.93,25.08,414.38,200.57,73.09,0
53.53,112.67,31.37,59.24,835.74,73.62,2989.83,0.18,64.0,42.8,187.47,84.9,-59.14,0
39.81,46.91,71.79,41.75,1300.0,58.68,2687.16,0.19,31.88,31.26,408.69,111.6,-7.1,1
46.87,69.14,135.61,41.42,254.27,64.48,2225.02,0.45,81.03,26.31,407.0,182.48,-22.27,0
65.56,124.42,62.12,34.1,352.44,207.54,1937.58,0.6,89.62,1.59,247.11,127.68,-58.86,0
40.09,85.58,138.95,50.08,1257.57,240.18,2848.29,0.48,45.31,31.19,32.04,179.04,-45.49,0
139.01,120.05,40.21,49.28,353.12,256.73,1707.58,0.16,26.34,31.5,422.68,179.22,18.96,0
49.95,104.67,96.85,58.4,701.45,264.3,2444.84,0.98,41.9,9.13,351.71,146.8,-54.72,0
90.85,80.32,107.31,93.39,644.57,104.07,1419.39,0.42,81.89,17.7,307.86,198.16,10.53,0
128.65,54.08,103.46,57.63,1034.11,117.39,2693.09,0.14,45.0,19.77,164.03,232.11,74.57,1
95.07,67.81,142.41,65.92,254.76,200.85,2849.12,0.22,85.08,40.45,159.79,237.48,27.26,0
34.4,80.11,55.0,89.54,1903.39,248.42,2785.01,0.81,79.25,13.41,462.17,89.4,-45.71,1
40.53,85.25,69.25,29.72,1552.65,175.66,2667.26,0.1,33.48,38.45,5.65,109.78,-44.72,1
107.04,53.49,92.55,67.32,214.07,175.69,2846.75,0.83,74.1,11.12,5.73,199.59,53.55,0
73.37,117.35,54.51,20.24,1530.04,272.71,2554.61,0.8,40.98,7.25,143.91,127.88,-43.98,1
47.22,116.33,127.64,54.8,1147.26,155.98,2165.69,0.54,51.99,13.13,417.31,174.86,-69.11,0
72.51,33.84,115.93,79.66,179.93,209.15,2573.12,0.47,45.55,14.27,470.82,188.44,38.67,0
110.74,33.96,50.58,71.8,274.31,55.62,2685.47,0.23,47.74,2.47,487.59,161.32,76.78,0
114.44,100.49,50.21,49.49,1448.2,131.2,2247.37,0.51,47.04,46.65,365.83,164.65,13.95,1
91.07,100.18,55.91,61.65,509.07,120.83,2490.73,0.86,71.32,12.27,431.12,146.98,-9.11,0
121.27,78.98,107.27,84.82,1977.97,237.33,2453.15,0.71,27.97,3.25,420.0,228.54,42.29,1
43.17,129.91,139.17,56.73,220.18,241.21,1861.5,0.31,45.34,15.05,346.04,182.34,-86.74,0
109.81,72.94,112.42,92.09,1572.9,149.43,1470.38,0.18,82.44,20.17,152.73,222.23,36.87,1
77.71,115.72,147.76,12.77,861.21,95.08,2567.49,0.95,44.93,32.93,389.92,225.47,-38.01,0
47.68,87.52,48.09,67.67,1504.05,211.9,1643.14,0.23,75.45,41.68,197.64,95.77,-39.84,1
109.14,37.44,65.68,21.53,1993.94,288.51,1321.18,0.25,45.8,3.1,147.24,174.82,71.7,1
144.91,68.77,72.73,61.65,136.11,105.31,1534.42,0.88,41.4,47.47,90.68,217.64,76.14,0
107.47,44.32,56.36,30.33,179.56,175.25,2244.92,0.81,49.22,24.16,232.59,163.83,63.15,0
104.05,82.76,97.8,25.32,1910.22,227.82,1514.83,0.98,43.69,23.54,432.75,201.85,21.29,1
52.57,50.21,46.53,46.67,1231.46,159.39,2227.35,0.54,18.85,48.09,395.24,99.1,2.36,1
45.87,76.85,79.87,17.41,1669.56,86.37,1590.98,0.22,21.9,28.13,474.87,125.74,-30.98,1
40.83,36.28,139.86,36.87,796.94,230.87,2274.69,0.66,78.19,32.7,492.09,180.69,4.55,0
122.34,36.13,125.84,30.88,1677.38,66.54,1331.46,0.64,18.94,32.29,313.49,248.18,86.21,1
125.8,38.28,104.85,46.64,602.26,140.69,1890.82,0.6,80.74,27.46,368.05,230.65,87.52,1
54.51,98.55,72.55,54.42,1007.35,192.74,2359.18,0.34,63.2,42.53,123.13,127.06,-44.04,0
139.13,115.79,65.08,52.75,1745.74,104.59,2538.62,0.83,88.71,20.36,454.77,204.21,23.34,1
85.62,22.84,77.83,21.04,1857.06,85.42,1548.23,0.4,40.02,35.92,282.13,163.45,62.78,1
61.17,51.31,132.15,49.72,1503.01,249.75,2845.87,0.26,76.64,17.6,170.29,193.32,9.86,0
126.34,97.54,33.21,61.86,1747.33,97.28,2642.62,0.86,45.39,35.82,477.31,159.55,28.8,1
112.25,108.15,144.4,74.37,626.26,142.19,2379.73,0.45,43.0,19.85,254.23,256.65,4.1,0
132.07,88.76,133.49,41.92,1951.28,133.32,1902.11,0.96,61.36,31.78,356.27,265.56,43.31,1
57.46,104.33,68.35,62.47,1338.93,279.21,2120.43,0.87,82.72,16.51,351.7,125.81,-46.87,0
49.28,111.79,59.43,12.9,974.02,171.11,1599.74,0.44,54.29,40.3,30.1,108.71,-62.51,1
75.99,54.17,74.7,61.87,1303.18,264.04,2238.0,0.42,74.71,28.34,264.43,150.69,21.82,1
75.56,38.1,57.6,32.16,313.01,106.32,2819.7,0.87,77.32,45.02,180.77,133.16,37.46,0
83.08,114.87,92.47,78.91,222.33,272.8,2263.9,0.48,45.97,29.76,164.99,175.55,-31.79,0
54.7,25.26,44.36,39.01,1811.67,196.27,2731.05,0.53,21.87,14.48,460.18,99.06,29.44,1
57.05,38.03,99.93,12.08,287.99,194.13,1630.35,0.89,37.86,18.51,314.01,156.98,19.02,0
110.88,71.78,130.11,36.36,108.74,176.46,2120.97,0.22,21.77,5.64,274.51,240.99,39.1,0
84.29,72.2,44.59,36.92,1119.03,220.33,2411.59,0.63,37.52,10.5,14.8,128.88,12.09,1
37.49,47.09,130.96,17.05,627.17,179.54,1827.02,0.75,74.2,48.17,220.23,168.45,-9.6,0
135.3,50.85,92.65,18.58,244.38,151.7,1758.08,0.4,16.49,18.39,127.58,227.95,84.45,0
125.85,63.36,126.27,78.18,986.25,98.77,1784.51,0.43,60.72,10.93,306.94,252.12,62.49,1
49.28,39.52,64.19,99.79,540.19,292.29,1850.28,0.88,16.17,10.78,283.74,113.47,9.76,0
36.93,29.83,39.12,33.62,643.63,88.63,2014.25,0.88,30.01,24.29,154.98,76.05,7.1,0
140.62,92.41,87.26,76.95,1935.07,75.26,2537.56,0.44,55.26,11.9,388.72,227.88,48.21,1
141.67,101.89,129.97,91.08,1385.59,212.74,2920.94,0.96,76.49,2.43,327.69,271.64,39.78,1
44.24,84.26,129.78,45.78,1402.25,253.12,1461.38,0.39,69.02,24.11,9.89,174.02,-40.02,0
145.8,53.41,53.45,78.2,869.34,156.38,1968.71,0.35,33.83,46.03,24.75,199.25,92.39,1
102.77,127.43,49.16,53.94,1748.65,183.41,2779.08,0.17,54.22,38.85,169.93,151.93,-24.66,0
79.34,31.42,111.41,42.78,1788.06,150.96,1896.46,0.98,72.75,2.64,282.85,190.75,47.92,1
120.62,113.12,40.09,99.74,1761.44,142.85,1362.27,0.39,18.49,11.76,72.44,160.71,7.5,0
83.02,108.61,122.35,15.74,1455.7,159.11,1500.63,0.81,71.5,34.96,474.41,205.37,-25.59,1
108.91,52.99,111.47,87.93,555.7,286.64,2561.78,0.86,21.09,10.25,480.75,220.38,55.92,0
61.18,28.15,35.13,20.0,937.85,295.9,1532.56,0.88,53.42,32.62,267.66,96.31,33.03,1
140.07,86.31,72.18,34.84,500.62,236.88,2908.4,0.23,47.01,44.28,160.7,212.25,53.76,1
148.95,53.18,137.97,82.47,207.37,102.52,2576.62,0.38,34.92,24.51,402.4,286.92,95.77,0
100.95,33.24,136.77,74.17,1010.15,228.58,2525.07,0.34,22.0,19.37,226.94,237.72,67.71,1
76.27,121.56,141.34,45.58,555.84,176.69,1874.13,0.17,47.29,29.64,10.96,217.61,-45.29,0
52.22,91.31,93.96,10.4,1567.75,68.9,1943.04,0.92,84.3,20.97,10.47,146.18,-39.09,1
82.74,70.53,47.81,76.55,1571.97,58.66,2185.67,0.59,21.96,16.43,285.62,130.55,12.21,1
49.95,69.66,77.06,17.71,1417.81,213.52,2353.03,0.2,75.15,48.02,418.54,127.01,-19.71,1
45.93,62.84,68.15,27.62,689.69,126.89,2767.71,0.89,71.99,11.61,128.86,114.08,-16.91,0
99.89,76.27,122.6,61.6,789.2,148.41,2408.46,0.25,82.45,42.35,347.7,222.49,23.62,0
65.93,106.61,66.33,39.79,1842.49,240.6,1718.39,0.26,24.92,14.27,207.16,132.26,-40.68,1
69.21,42.8,98.26,31.63,540.81,75.76,2578.34,0.96,23.49,15.42,66.69,167.47,26.41,0
134.19,91.61,75.97,77.65,1149.15,276.13,1441.99,0.12,44.93,17.72,178.95,210.16,42.58,1
129.22,67.08,88.86,59.55,806.67,131.05,2670.13,0.48,86.4,20.03,5.56,218.08,62.14,1
122.53,108.18,50.08,94.72,1342.09,68.64,2880.03,0.95,68.97,40.05,395.89,172.61,14.35,0
148.16,78.56,124.72,44.09,1090.05,251.5,1779.75,0.44,71.94,44.44,31.1,272.88,69.6,1
41.16,24.35,134.51,93.23,654.52,86.93,2229.57,0.48,80.56,19.21,174.15,175.67,16.81,0
102.68,21.17,70.64,70.42,1815.08,165.37,1736.0,0.65,39.86,3.76,17.15,173.32,81.51,1
62.98,83.46,81.84,55.88,318.23,268.69,2662.97,0.58,62.42,6.38,25.23,144.82,-20.48,0
44.92,30.23,31.34,42.55,1628.78,130.66,2916.31,0.98,52.81,35.24,133.26,76.26,14.69,1
144.0,59.22,128.3,16.28,929.8,283.92,2117.67,0.32,82.6,1.17,340.98,272.3,84.78,1
123.07,30.0,62.76,18.07,891.77,256.67,2518.4,0.19,78.84,40.88,360.54,185.83,93.07,1
57.12,20.92,101.34,51.32,629.76,225.64,1331.97,0.89,27.89,29.11,145.81,158.46,36.2,1
46.94,60.44,148.65,16.39,151.91,68.1,2703.2,0.44,75.15,33.54,260.12,195.59,-13.5,0
39.73,79.36,68.88,91.68,936.69,254.78,1662.96,0.38,52.91,49.36,221.15,108.61,-39.63,0
32.3,40.69,125.32,42.13,1465.1,94.79,2525.85,0.34,51.93,13.57,157.47,157.62,-8.39,0
70.57,79.53,88.68,60.4,410.56,219.85,1650.99,0.36,51.95,3.7,229.61,159.25,-8.96,0
99.95,25.73,113.4,43.52,1686.95,260.74,2656.43,0.77,45.16,47.56,494.73,213.35,74.22,1
122.23,99.49,69.12,18.93,1522.61,234.95,2144.31,0.34,70.38,37.99,477.54,191.35,22.74,1
98.15,80.16,141.75,81.28,1401.83,278.21,2043.46,0.66,31.04,20.82,497.22,239.9,17.99,0
87.07,46.61,63.49,89.39,1696.22,103.04,2504.67,0.61,59.57,11.44,132.8,150.56,40.46,1
64.38,30.64,104.29,74.47,898.97,122.93,2137.7,0.14,59.09,16.31,338.58,168.67,33.74,1
102.86,125.6,89.56,82.19,1132.6,123.06,1489.85,0.16,26.24,34.88,240.49,192.42,-22.74,0
149.56,75.96,117.57,93.49,1358.4,67.27,1554.32,0.99,84.21,39.98,123.94,267.13,73.6,1
106.12,65.3,47.36,70.91,1228.33,92.6,2125.86,0.57,81.39,43.85,442.46,153.48,40.82,1
109.97,24.82,55.84,51.2,858.62,234.52,2271.08,0.89,85.07,15.61,339.49,165.81,85.15,1
104.85,47.9,56.42,17.67,236.77,143.43,1607.25,0.47,69.29,10.78,232.81,161.27,56.95,0
145.8,56.67,97.26,70.08,217.45,182.17,2339.34,0.87,24.69,33.27,254.16,243.06,89.13,0
99.66,115.85,66.06,38.66,1565.6,95.57,1687.59,0.78,49.81,7.27,101.48,165.72,-16.19,0
126.36,60.19,96.66,19.76,191.01,91.27,1831.92,0.85,68.39,39.87,455.02,223.02,66.17,0
111.18,102.68,51.58,50.12,268.95,216.65,2149.2,0.18,53.78,20.62,66.48,162.76,8.5,0
82.39,54.8,92.57,81.3,305.45,161.95,2014.77,0.14,71.1,1.22,308.46,174.96,27.59,0
120.96,25.65,132.28,50.93,937.91,206.96,2751.12,0.85,75.72,27.58,184.38,253.24,95.31,1
60.22,85.56,140.04,32.76,421.24,59.39,1612.02,0.96,46.68,25.1,396.89,200.26,-25.34,0
141.97,59.58,131.56,52.41,425.13,253.5,2054.51,0.8,80.15,4.98,65.59,273.53,82.39,0
78.88,40.79,50.41,71.42,510.69,239.44,2932.96,0.27,57.53,15.71,137.53,129.29,38.09,1
101.88,37.92,55.13,83.79,1737.02,158.29,1670.68,0.93,68.62,20.53,45.33,157.01,63.96,1
83.05,76.64,80.92,15.39,1835.28,218.13,2618.96,0.28,52.19,34.66,264.63,163.97,6.41,1
149.14,27.3,112.11,55.85,1971.68,59.79,1309.29,0.55,52.52,21.26,90.0,261.25,121.84,1
59.92,31.73,56.71,89.45,349.33,288.04,1700.93,0.53,59.19,23.3,386.26,116.63,28.19,0
67.42,61.69,42.79,23.39,1832.87,216.04,1643.95,0.81,69.74,17.83,453.4,110.21,5.73,1
106.94,45.85,54.3,99.71,1880.59,145.61,1772.58,0.21,19.49,23.06,111.24,161.24,61.09,1
112.72,113.12,59.99,66.34,1729.77,87.25,2663.58,0.61,63.48,28.89,226.41,172.71,-0.4,0
79.07,50.66,87.35,11.95,1585.19,85.23,1736.89,0.76,60.38,38.95,92.81,166.42,28.41,1
116.69,20.81,99.67,51.2,127.18,177.18,1388.0,0.49,56.66,45.3,428.88,216.36,95.88,0
89.11,110.9,86.67,28.57,738.65,83.23,2603.22,0.33,61.53,27.39,150.6,175.78,-21.79,0
107.3,48.9,149.03,19.43,150.6,126.59,2447.73,0.81,22.56,47.91,28.68,256.33,58.4,0
82.84,108.48,86.76,17.51,1806.81,265.46,1691.54,0.87,65.38,15.36,278.24,169.6,-25.64,1
45.54,93.93,82.72,31.07,1288.78,124.58,1766.84,0.95,78.69,14.96,397.09,128.26,-48.39,1
60.56,128.82,132.95,47.5,446.61,140.17,2427.88,0.34,75.02,45.5,20.01,193.51,-68.26,0
45.37,60.33,100.64,63.32,1416.91,93.81,2119.49,0.97,79.02,4.7,198.41,146.01,-14.96,0
49.56,90.08,141.15,67.71,1702.86,247.7,2196.07,0.41,24.88,10.23,255.35,190.71,-40.52,0
43.94,31.07,85.05,23.29,1257.85,216.64,2673.21,0.55,64.53,6.92,34.52,128.99,12.87,1
141.56,86.09,114.53,91.3,1048.7,139.36,2454.47,0.52,31.69,7.76,256.89,256.09,55.47,1
51.77,34.23,124.78,33.84,1140.57,262.56,2293.27,0.54,16.29,10.95,354.16,176.55,17.54,1
40.26,78.64,67.49,16.44,1056.99,89.83,2749.72,0.77,47.65,23.17,438.63,107.75,-38.38,1
113.54,51.01,34.27,23.02,121.61,115.07,1408.04,0.95,27.03,23.45,132.07,147.81,62.53,0
136.83,76.94,70.43,61.32,868.22,279.45,1965.88,0.68,40.28,6.26,376.87,207.26,59.89,1
79.16,41.43,113.14,36.35,1290.75,69.21,1339.04,0.19,47.2,22.5,368.04,192.3,37.73,1
72.65,55.21,113.02,94.18,293.36,140.16,1679.65,0.63,20.7,42.98,403.98,185.67,17.44,0
35.25,61.05,48.32,97.0,985.37,232.98,1706.24,0.1,20.94,5.75,436.33,83.57,-25.8,0
137.67,97.09,66.15,16.61,1255.47,294.17,1626.07,0.34,28.33,27.42,456.42,203.82,40.58,1
107.23,122.68,123.55,55.21,1533.41,299.4,2549.57,0.39,62.42,10.26,160.32,230.78,-15.45,0
83.11,107.46,58.98,38.7,1435.55,173.48,2862.35,0.11,66.5,4.86,213.98,142.09,-24.35,0
140.34,70.12,108.79,31.05,1497.69,230.78,2226.88,0.27,67.28,48.16,107.1,249.13,70.22,1
38.08,96.72,102.91,60.35,690.01,212.16,1945.45,0.35,25.39,30.85,439.28,140.99,-58.64,0
59.51,97.36,30.41,58.98,1771.9,96.66,1536.67,0.37,42.57,48.78,379.0,89.92,-37.85,1
50.39,108.34,91.19,42.74,1506.01,177.32,2642.65,1.0,37.36,2.26,354.59,141.58,-57.95,0
48.87,43.05,113.15,78.45,1707.21,253.32,2019.68,0.7,41.82,4.71,96.56,162.02,5.82,0
93.56,123.2,50.47,29.27,1446.33,141.76,2612.03,0.38,29.68,7.3,179.39,144.03,-29.64,1
144.97,45.41,123.6,42.67,707.72,137.11,2901.44,0.35,28.02,23.96,107.67,268.57,99.56,1
129.44,38.12,54.53,90.63,1518.97,264.03,1433.89,0.25,52.22,10.81,488.67,183.97,91.32,1
39.53,115.35,121.54,60.69,499.14,224.6,2252.59,0.58,50.67,20.02,356.86,161.07,-75.82,0
30.63,41.95,146.98,24.14,509.34,95.81,1622.03,0.83,38.65,48.54,115.29,177.61,-11.32,0
109.8,86.56,82.05,27.75,1415.87,275.02,2340.33,0.68,26.47,27.14,172.84,191.85,23.24,1
136.34,90.12,132.09,50.02,656.66,294.7,1868.67,0.57,83.65,38.74,199.33,268.43,46.22,0
90.32,66.13,69.67,65.77,721.96,118.22,2218.01,0.24,21.21,34.37,45.59,159.99,24.19,0
77.41,76.37,98.56,56.97,206.83,69.82,1445.96,0.69,86.58,18.08,486.64,175.97,1.04,0
57.93,49.19,43.61,90.06,1412.44,263.98,2266.81,0.82,39.8,16.64,330.83,101.54,8.74,0
76.14,126.03,39.32,87.07,1136.0,221.87,2323.01,0.21,59.73,33.86,177.39,115.46,-49.89,0
65.67,124.22,96.04,57.3,1098.61,251.73,2447.51,0.56,89.71,43.6,323.03,161.71,-58.55,0
107.74,97.6,42.13,75.79,1083.6,58.67,2295.0,0.48,66.35,39.1,50.49,149.87,10.14,0
71.71,35.22,139.29,64.55,1489.52,89.25,2750.75,0.66,53.58,1.52,112.43,211.0,36.49,1
101.25,50.79,61.46,36.32,1059.71,114.81,1816.28,0.69,53.18,37.43,138.86,162.71,50.46,1
125.51,21.65,32.13,43.94,976.1,156.66,2174.03,0.9,17.13,48.44,9.81,157.64,103.86,1
76.63,66.68,121.33,98.82,1507.64,166.48,2997.74,0.52,21.31,16.04,106.07,197.96,9.95,0
106.28,20.55,35.14,75.39,657.32,259.5,1462.53,0.24,88.32,29.07,431.47,141.42,85.73,1
36.52,39.44,87.11,69.24,1993.78,58.75,2273.21,0.88,41.37,45.71,131.88,123.63,-2.92,1
50.37,21.68,83.1,31.84,579.13,80.55,2303.57,0.65,24.96,30.38,89.66,133.47,28.69,1
90.03,78.05,102.33,44.53,573.07,207.49,2689.23,0.76,53.45,21.31,222.9,192.36,11.98,0
63.44,37.02,88.99,67.84,1751.76,138.88,1655.93,0.95,21.19,6.3,282.13,152.43,26.42,1
46.9,109.77,73.61,50.71,1981.71,282.5,2928.35,0.83,89.4,36.21,179.53,120.51,-62.87,1
48.82,93.87,107.18,72.91,1605.84,201.23,2280.1,0.81,89.46,1.78,464.93,156.0,-45.05,0
92.33,67.57,79.81,59.89,1734.67,163.08,1701.11,0.75,41.32,33.43,485.05,172.14,24.76,1
147.49,25.72,103.68,97.39,1877.68,295.17,2149.71,0.54,83.77,36.94,458.21,251.17,121.77,1
97.17,93.84,62.9,65.46,892.19,259.06,1673.4,0.67,37.53,42.48,87.01,160.07,3.33,0
138.85,71.15,136.69,18.83,804.33,60.05,2769.01,0.28,68.73,2.0,61.03,275.54,67.7,1
117.84,114.0,51.14,60.64,758.62,202.63,2939.65,0.65,24.48,49.72,101.76,168.98,3.84,0
99.81,56.98,54.47,50.48,1524.84,242.1,1328.68,0.52,39.83,38.98,394.38,154.28,42.83,1
36.05,109.24,59.92,12.6,1149.09,240.65,2307.91,0.25,33.11,36.94,413.99,95.97,-73.19,1
46.36,48.99,40.92,81.82,1128.52,132.37,2053.18,0.83,37.05,26.31,17.46,87.28,-2.63,0
32.21,95.32,138.53,43.38,783.02,114.47,1302.49,0.76,73.75,48.89,228.25,170.74,-63.11,0
49.52,65.98,137.18,47.48,232.17,119.67,1750.86,0.19,41.84,11.77,16.88,186.7,-16.46,0
66.47,74.14,136.81,51.66,240.45,297.05,2435.26,0.29,81.74,17.58,362.62,203.28,-7.67,0
108.17,22.16,67.33,63.04,1652.38,295.72,2417.96,0.72,68.26,47.33,115.31,175.5,86.01,1
38.1,58.11,106.13,76.33,270.44,172.28,1964.89,0.14,79.71,19.79,157.64,144.23,-20.01,0
142.34,27.56,100.55,80.47,233.55,219.53,2275.71,0.67,29.05,23.99,496.9,242.89,114.78,0
132.96,20.41,107.89,89.48,1359.94,279.17,1434.2,0.84,38.5,46.37,179.12,240.85,112.55,1
83.21,20.04,41.97,44.81,128.92,201.98,2628.48,0.52,87.32,39.19,232.05,125.18,63.17,0
80.66,38.99,90.72,48.42,901.38,275.7,2457.04,0.42,83.45,38.59,260.24,171.38,41.67,1
121.72,82.9,142.02,61.41,889.72,257.19,2481.77,0.9,60.56,14.95,197.23,263.74,38.82,0
43.51,120.35,69.4,41.93,1899.51,291.53,1662.7,0.58,86.33,26.99,376.73,112.91,-76.84,1
106.53,22.58,76.66,55.66,1788.01,156.54,2550.15,0.34,46.5,37.99,158.69,183.19,83.95,1
113.7,25.54,74.14,60.92,1403.94,108.13,2120.23,0.48,47.43,43.53,321.22,187.84,88.16,1
81.59,86.46,64.18,71.35,1750.32,153.5,2367.84,0.98,25.57,11.19,427.65,145.77,-4.87,0
136.61,93.24,107.51,35.1,682.86,76.3,1788.17,0.6,89.02,27.08,64.86,244.12,43.37,1
66.28,97.87,30.73,19.66,547.09,154.58,1702.04,0.49,84.45,3.26,166.92,97.01,-31.59,0
148.94,98.02,84.05,68.09,985.27,253.23,2039.36,0.42,49.54,32.97,145.62,232.99,50.92,1
120.75,62.94,48.05,36.6,1323.59,132.96,1893.53,0.27,22.12,49.57,148.13,168.8,57.81,1
49.21,123.75,116.19,58.55,376.47,210.15,2819.51,0.92,75.2,33.61,221.14,165.4,-74.54,0
77.74,37.41,66.07,48.58,277.47,268.52,1552.76,0.92,69.24,45.95,311.75,143.81,40.33,0
132.53,122.91,125.79,47.2,229.59,164.29,1614.31,0.99,47.91,3.78,482.42,258.32,9.62,0
99.2,125.25,30.87,10.86,418.01,78.51,2761.6,0.85,48.75,1.02,494.02,130.07,-26.05,0
45.99,97.23,97.43,92.74,817.84,67.14,2130.19,0.25,17.29,28.34,251.71,143.42,-51.24,0
87.75,67.16,99.88,12.37,880.95,297.68,2511.61,0.67,18.57,44.17,219.79,187.63,20.59,1
99.93,45.5,68.33,57.0,1232.18,86.0,2478.8,0.77,81.98,30.74,127.02,168.26,54.43,1
94.24,51.61,94.0,82.73,191.83,159.78,1795.16,0.22,15.58,44.43,209.58,188.24,42.63,0
132.07,124.84,139.35,46.79,933.82,207.86,1305.16,0.76,50.07,1.83,189.58,271.42,7.23,0
54.06,88.15,32.99,76.29,783.77,294.26,2764.12,0.3,76.6,6.54,24.68,87.05,-34.09,0
84.01,123.69,64.06,22.62,1265.4,155.4,2916.7,0.38,32.62,4.08,476.65,148.07,-39.68,1
50.85,31.44,88.49,51.02,1461.44,71.18,2487.04,0.44,19.61,37.23,414.64,139.34,19.41,1
129.94,60.01,112.7,34.5,279.84,170.83,2931.14,0.79,86.87,13.47,313.62,242.64,69.93,0
108.12,118.96,44.87,74.78,911.57,167.81,2769.53,0.99,28.33,23.71,367.38,152.99,-10.84,0
134.63,87.2,38.36,67.15,734.26,254.99,2409.87,0.66,74.17,48.86,111.21,172.99,47.43,1
101.17,120.19,149.73,39.83,1862.18,81.32,1968.26,0.45,34.1,39.51,304.28,250.9,-19.02,0
146.17,104.85,68.86,85.11,1849.31,189.8,2892.27,0.41,74.09,4.67,494.7,215.03,41.32,1
59.08,86.37,71.29,52.08,645.41,149.42,1677.41,0.19,24.86,6.24,456.33,130.37,-27.29,0
77.78,100.51,45.43,61.72,1071.58,56.92,2424.66,0.61,47.99,7.26,275.56,123.21,-22.73,0
77.56,124.36,123.63,95.63,679.64,61.29,1892.75,0.13,49.24,36.79,115.67,201.19,-46.8,0
114.3,22.63,119.57,84.04,325.23,266.05,2825.73,0.48,40.91,9.57,139.23,233.87,91.67,0
131.4,68.42,66.08,51.72,1833.7,170.89,2351.27,0.59,59.29,49.32,71.81,197.48,62.98,1
81.83,81.57,42.1,27.35,1238.24,269.94,2424.34,0.61,15.67,9.63,305.78,123.93,0.26,1
39.47,96.07,124.45,11.48,525.89,293.14,1685.83,0.21,70.56,6.16,92.27,163.92,-56.6,0
144.09,26.2,79.43,53.97,696.63,258.71,2404.7,0.3,69.15,32.06,456.54,223.52,117.89,1
100.51,31.61,114.22,92.06,815.76,214.7,1500.36,0.67,31.21,36.22,431.52,214.73,68.9,1
115.13,28.76,137.48,73.38,1349.59,254.96,1379.66,0.95,52.53,23.78,334.56,252.61,86.37,1
51.94,64.88,47.75,66.94,1041.37,290.59,2056.41,0.72,81.81,33.72,179.14,99.69,-12.94,0
60.91,43.68,103.56,75.97,1671.26,71.27,2778.76,0.72,69.03,45.26,354.5,164.47,17.23,1
90.01,43.77,70.33,18.87,439.64,100.69,2938.85,0.8,44.0,23.98,194.88,160.34,46.24,1
146.39,97.73,117.48,25.43,162.44,180.83,2822.57,0.28,56.49,38.3,219.05,263.87,48.66,0
145.74,121.55,59.34,71.47,1599.6,246.33,2857.58,0.6,88.06,24.95,10.69,205.08,24.19,1
